Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
013790,Digital Signal Processing,Ifeachor Emmanuel C,New Delhi,Pearson,2009,2.0,English,ELECTRONICS & COMMUNICAT
013794,Callisters Material Science and Engineering,Callister William D,New Delhi,John Wiley,2008,,English,MECHANICAL ENGINEERING
013801,Robotics Fundamental Concepts & Analysis,Ghosal Ashitava,New Delhi,Oxford Uniners,2009,,English,MECHANICAL ENGINEERING
013805,Software Engineering,Sommerville Ian,New Delhi,Pearson Edu,2009,8.0,English,COMPUTER SCIENCE
013836,Communication Networks,Garcia Alberto Leon,New Delhi,TMG,2009,2.0,English,COMPUTER SCIENCE
013838,Object Oriented Modeling and Design with UM,Blaha Michael,New Delhi,Pearson Edu,2008,2.0,English,COMPUTER SCIENCE
013839,GATE 2010: Graduate Aptitude Test in Enginee,G K,Roorkee,G K Publisher,2009,,English,GENERAL
013840,"Data Structures, Algorithms and Applications i",nSahni Sartaj,Hyderabad,Universities pr,e2009,2.0,English,COMPUTER SCIENCE
013842,Fundamentals of the Theory of Computation,Greenlaw Raymond,Gurgaon,Morgen Kaufm,2009,,English,COMPUTER SCIENCE
013843,Computer Graphics using Open GL,Hill F S,New Delhi,PHI,2009,3.0,English,COMPUTER SCIENCE
013845,Digital Image Processing and Analysis,Chanda Bhabatosh,New Delhi,PHI,2009,,English,COMPUTER SCIENCE
013849,Practical Object Oriented Design with UML,Priestley Mark,New Delhi,TMG,2009,2.0,English,COMPUTER SCIENCE
013850,Object Oriented Design with UML and Java,Barclay K,Gurgaon,Elsevier,2009,,English,COMPUTER SCIENCE
013854,Fundamentals of Computer Algorithms,Horowitz Ellis,Hyderabad,Universities Pr,e2008,2.0,English,COMPUTER SCIENCE
013855,Mobile Computing Principles,B Far Reza,New York,Cambridge Uni,2006,,English,ELECTRONICS & COMMUNICAT
013856,Principles of Mobile Computing,Hansmann Uwe,New Delhi,Springer,2009,2.0,English,ELECTRONICS & COMMUNICAT
013858,Compiler Construction Principles and Practice,Louden Kenneth C,New Delhi,Cengage Learn,i2009,,English,COMPUTER SCIENCE
013860,Dynamics of Enterpreneurial Development an,dDesai Vasant,Mumbai,Himalaya Pub,2009,,English,MECHANICAL ENGINEERING
013891,Introduction to Data Communications and Net,Tomasi Wayne,New Delhi,Pearson,2009,,English,COMPUTER SCIENCE
013910,Digital Signal Processing,Prokis John G.,New Delhi,Prentice Hall,2008,4.0,English,ELECTRONICS & COMMUNICAT
013912,Fundamentals of Robotics,Schilling Robert J,New Delhi,Pearson,2008,,English,MECHANICAL ENGINEERING
013919,Digital Principles and Design with CD,Givane Donald D,New Delhi,TMG,2009,,English,ELECTRONICS & COMMUNICAT
013929,Discrete Mathematics and its Applications,Rosen Kenneth H,New Delhi,TMG,2009,6.0,English,MATHEMATICS
013971,Microwave Engg,Pozar David M,New Delhi,John Wiley,2004,2.0,English,ELECTRONICS & COMMUNICAT
013972,Introduction to Wirless Telecommunication Sy,Mullet,New Delhi,TMG,2006,,English,ELECTRONICS & COMMUNICAT
013973,Introduction to Wireless Communication Syste,Mullett Gray J,New Delhi,Cengage Learn,i2010,,English,ELECTRONICS & COMMUNICAT
013993,Antennas and Wave Propogation,Stalling Willam,New Delhi,Pearson Edu,2009,4.0,English,ELECTRONICS & COMMUNICAT
014003,Antennas and Wave Propogation,Forouzon Behrouz,New Delhi,TMG,2010,4.0,English,ELECTRONICS & COMMUNICAT
014018,Multimedia Information Networking,Sharda Nalin K,New Delhi,PHI Learning,2008,,English,ELECTRONICS & COMMUNICAT
014023,CMOS mixed Signal Circuits Design,Baker Jacob R,New Delhi,John Wiley,2009,,English,ELECTRONICS & COMMUNICAT
014033,Professional Ajax,Zakas Nicloas C,New Delhi,John Wiley,2010,2.0,English,COMPUTER SCIENCE
014045,Amazon.com Mashups,Shanahan Francis,New Delhi,John Wiley,2010,,English,COMPUTER SCIENCE
014075,Software Testing & Analysis,Pezze Mauro,New Delhi,John Wiley,2010,,English,COMPUTER SCIENCE
014077,Ajax Bible,Holzner Steven,New Delhi,John Wiley,2010,,English,COMPUTER SCIENCE
014079,Computer Architecture,Hennnesy John,New Delhi,Morgan Kaufm,2010,4.0,English,COMPUTER SCIENCE
014104,Production & Operation Managment,"Adam Everett E,Ebert Ro",New Delhi,PHI Learning,2009,5.0,English,MECHANICAL ENGINEERING
014124,Principles of Managment,Koontz Harold,New Delhi,TMG,2009,,English,MECHANICAL ENGINEERING
014160,Networks Managments,Subrmaniam Mani,New Delhi,Pearson,2010,2.0,English,COMPUTER SCIENCE
014180,ARM Systems Developers Guide,Sloss Andrew,Gurgaon,Morgan Kaufm,2010,,English,ELECTRONICS & COMMUNICAT
014192,An Embedded Software Primer,Simon David E,New Delhi,Pearson Edu,2009,,English,COMPUTER SCIENCE
014202,Cryptography & Network Security,Kahate Atul,New Delhi,TMG,2009,2.0,English,COMPUTER SCIENCE
014207,Cryptography & Network Security,Agrawal Dharma Prakas,hNew Delhi,Cengage Learn,i2009,2.0,English,ELECTRONICS & COMMUNICAT
014212,Real Time Systems,Krishna C M,New Delhi,TMG,1997,,English,ELECTRONICS & COMMUNICAT
014222,The 8085 Microcontroller & Embedded System,Mazidi Ali Mohd,New Delhi,Pearson Edu,2009,2.0,English,ELECTRONICS & COMMUNICAT
014257,Grid Comuting,Joseph Joshy,New Delhi,Pearson Edu,2004,,English,COMPUTER SCIENCE
014267,Ajax The Complete Reference,Powell Thomos A.,New Delhi,TMG,2008,,English,COMPUTER SCIENCE
014269,Mobile Computing,Talukder Asoke K,New Delhi,TMG,2009,,English,COMPUTER SCIENCE
014271,Ad HOC Wireless Networks,Murthy C Shiva ram,New Delhi,Pearson edu,2004,,English,ELECTRONICS & COMMUNICAT
014286,Principles of Physical Chemistry,Puri B R,Delhi,Vishal Pub,1962,,English,CHEMISTRY
